sample1,Klebsiella_pneumoniae,GCA_021904055.3,SRR16304258
sample2,Klebsiella_pneumoniae,GCA_021903955.3,SRR16359957
sample3,Klebsiella_pneumoniae,GCA_028544835.1,SRR23362664
sample4,Klebsiella_pneumoniae,GCA_025778035.1,SRR21985547
sample5,Klebsiella_pneumoniae,GCA_028545035.3,SRR23362615
sample6,Klebsiella_pneumoniae,GCA_028545155.1,SRR23362600
sample7,Klebsiella_pneumoniae,GCA_028545115.3,SRR23362590
sample8,Klebsiella_pneumoniae,GCA_028546995.1,SRR23362654
sample9,Klebsiella_pneumoniae,GCA_028905645.1,SRR23652621
sample10,Klebsiella_pneumoniae,GCA_031052455.1,SRR24324095
sample11,Klebsiella_pneumoniae,GCA_032601205.2,SRR26371355
sample12,Klebsiella_pneumoniae,GCA_032848885.2,SRR26424108
sample1,Acinetobacter_baumannii,GCA_031135025.2,SRR24324090
sample2,Acinetobacter_baumannii,GCA_031135525.2,SRR24324051
sample3,Acinetobacter_baumannii,GCA_031135765.2,SRR24324035
sample4,Acinetobacter_baumannii,GCA_031151615.2,SRR24635255
sample5,Acinetobacter_baumannii,GCA_031134355.2,SRR24324145
sample6,Acinetobacter_baumannii,GCA_031134335.2,SRR24324144
sample7,Acinetobacter_baumannii,GCA_031142985.2,SRR24326815
sample8,Acinetobacter_baumannii,GCA_031150645.2,SRR24635287
sample9,Acinetobacter_baumannii,GCA_031111305.2,SRR25177972
sample10,Acinetobacter_baumannii,GCA_031111485.2,SRR25177960
sample11,Acinetobacter_baumannii,GCA_031111625.2,SRR25177949
sample12,Acinetobacter_baumannii,GCA_032601785.2,SRR26371323
sample13,Acinetobacter_baumannii,GCA_032602295.2,SRR26371306
sample14,Acinetobacter_baumannii,GCA_032849305.2,SRR26424088
sample15,Acinetobacter_baumannii,GCA_032849505.2,SRR26424077
sample16,Acinetobacter_baumannii,GCA_032848135.2,SRR26424131
sample17,Acinetobacter_baumannii,GCA_032848905.2,SRR26424107
sample18,Acinetobacter_baumannii,GCA_032848925.2,SRR26424106
sample19,Acinetobacter_baumannii,GCA_032848945.2,SRR26424105
sample20,Acinetobacter_baumannii,GCA_032848965.2,SRR26424103
sample21,Acinetobacter_baumannii,GCA_033180405.2,SRR26617447
sample22,Acinetobacter_baumannii,GCA_033180385.2,SRR26617446
sample23,Acinetobacter_baumannii,GCA_033180445.2,SRR26617445
sample24,Acinetobacter_baumannii,GCA_033180455.2,SRR26617444
sample25,Acinetobacter_baumannii,GCA_033180485.2,SRR26617443
sample26,Acinetobacter_baumannii,GCA_033180525.2,SRR26617442
sample27,Acinetobacter_baumannii,GCA_033941625.1,SRR26919409
sample28,Acinetobacter_baumannii,GCA_033941685.1,SRR26919408
sample29,Acinetobacter_baumannii,GCA_033941665.1,SRR26919407
sample30,Acinetobacter_baumannii,GCA_033941705.1,SRR26919406
sample31,Acinetobacter_baumannii,GCA_033941725.1,SRR26919405
sample32,Acinetobacter_baumannii,GCA_033941745.1,SRR26919404
sample33,Acinetobacter_baumannii,GCA_035077925.1,SRR27411060
sample34,Acinetobacter_baumannii,GCA_035887515.1,SRR27606179
sample35,Acinetobacter_baumannii,GCA_035887555.1,SRR27606178
sample36,Acinetobacter_baumannii,GCA_037933785.1,SRR28531310
sample37,Acinetobacter_baumannii,GCA_037933865.1,SRR28531307
sample38,Acinetobacter_baumannii,GCA_040256375.1,SRR29453982
sample39,Acinetobacter_baumannii,GCA_040238065.1,SRR29453973
sample40,Acinetobacter_baumannii,GCA_040249755.1,SRR29454010
sample41,Acinetobacter_baumannii,GCA_040249695.1,SRR29454009
